store_name,house_and_street,hamlet,ward,district,city,lat,lon
BHX 2/4 Lê Văn Lương,"2/4 Đường Lê Văn Lương, Xã Nhơn Đức",,,Huyện Nhà Bè,Thành phố Hồ Chí Minh,,
BHX 4A Đường Số 11,"Số 4A Đường số 11, Khu phố 1",,Phường Linh Tây,,Thành phố Hồ Chí Minh,,
BHX 39 Lê Văn Chí,"39 Lê Văn Chí, Khu phố 3",,Phường Linh Trung,,Thành phố Hồ Chí Minh,,
BHX 99 Tăng Nhơn Phú,"99 Tăng Nhơn Phú, Khu Phố 2",,Phường Phước Long B,,Thành phố Hồ Chí Minh,,
BHX C13/9 Đinh Đức Thiện,"C13/9 Đinh Đức Thiện, Ấp 3",,Xã Bình Chánh,,,,
BHX 11 Tô Vĩnh Diện,"11 Đường Tô Vĩnh Diện, Khu phố 4",,Phường Linh Chiểu,,Thành phố Hồ Chí Minh,,
BHX 324/6 Thạnh Lộc,"324/6 Khu Phố 3, P. Thạnh Lộc",,,,,,
BHX 181 TTN17,"181 Đường TTN17, khu phố 4",,Phường Tân Thới Nhất,Quận 12,,,
BHX 26/1 Nguyễn Thị Búp,"26/1 Nguyễn Thị Búp, P. Tân Chánh Hiệp",,,,,,
BHX 730 Lê Đức Thọ,"730/54 Lê Đức Thọ, P. 15",,,,,,
